deposit,lat,long,socioeconomic
Bald Hill,-31.5198,122.1785,0.574
Buldania,-32.06636,122.03325,0.574
Greenbushes,-33.86611,116.06472,0.461
Kathleen Valley,-27.48070,120.54605,0.81
Mt Cattlin,-33.56306,120.03527,0.43
Mt Holland (Earl Grey),-32.10358,119.76839,0.574
Mt Marion,-31.07445,121.46333,0.574
Mt Thirsty,-32.1019,121.6478,0.364
NiWest,-28.8633,121.793,0.65
Nova-Bollinger,-31.8199,123.1924,0.574
Pilgangoora,-21.07195,118.90139,0.685
Savannah,-17.35106,128.02506,0.794
Wilconi,-26.62281,120.19283,0.574
Wingellina,-26.05681,128.95983,0.81
Wodgina,-21.1746,118.6764,0.685
